"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","condition","participant_id","comprehension_loop1_attempts","info_comprehension_attempts","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task","correct_response","response_label","correct","selected","rt_valid","key_press","foil"
"image-keyboard-response","19","349221","0.0-9.0-0.2","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","NonImmersiveNoDrogek","27gm7peote","0","0","","","","","","null","img/Umbrella.png","null","exposure","","","","","false","",""
"image-keyboard-response","20","355733","0.0-9.0-0.3","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","NonImmersiveNoDrogek","27gm7peote","0","0","","","","","","null","img/Sandwich.png","null","exposure","","","","","false","",""
"html-keyboard-response","21","362777","0.0-10.0","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","NonImmersiveNoDrogek","27gm7peote","0","0","","","","","","55663","","","","","","","",""," ",""
"image-button-response","22","365665","0.0-11.0-0.0-0.0","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","NonImmersiveNoDrogek","27gm7peote","0","0","","","","","","1870","img/Man.png","0","word_selection","kiv","kiv","true","","","","kers"
"html-keyboard-response","23","367184","0.0-11.0-0.0-1.0","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","NonImmersiveNoDrogek","27gm7peote","0","0","","","","","","null","<img src='img/HappyWomanCropped.png' style='max-width:150px; display:block; margin:0 auto 10px;'><p style='font-size:32px'>Correct!</p>","null","","","","","","","",""
"image-button-response","24","368839","0.0-11.0-0.1-0.1","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","NonImmersiveNoDrogek","27gm7peote","0","0","","","","","","1652","img/Sandwich.png","1","word_selection","teban","teban","true","","","","pilg"
"html-keyboard-response","25","370352","0.0-11.0-0.1-1.1","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","NonImmersiveNoDrogek","27gm7peote","0","0","","","","","","null","<img src='img/HappyWomanCropped.png' style='max-width:150px; display:block; margin:0 auto 10px;'><p style='font-size:32px'>Correct!</p>","null","","","","","","","",""
"image-button-response","26","372023","0.0-11.0-0.2-0.2","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","NonImmersiveNoDrogek","27gm7peote","0","0","","","","","","1668","img/Woman.png","0","word_selection","kers","kers","true","","","","kiv"
"html-keyboard-response","27","373551","0.0-11.0-0.2-1.2","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","NonImmersiveNoDrogek","27gm7peote","0","0","","","","","","null","<img src='img/HappyWomanCropped.png' style='max-width:150px; display:block; margin:0 auto 10px;'><p style='font-size:32px'>Correct!</p>","null","","","","","","","",""
"image-button-response","28","375464","0.0-11.0-0.3-0.3","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","NonImmersiveNoDrogek","27gm7peote","0","0","","","","","","1910","img/Umbrella.png","1","word_selection","pilg","pilg","true","","","","teban"
"html-keyboard-response","29","376981","0.0-11.0-0.3-1.3","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","NonImmersiveNoDrogek","27gm7peote","0","0","","","","","","null","<img src='img/HappyWomanCropped.png' style='max-width:150px; display:block; margin:0 auto 10px;'><p style='font-size:32px'>Correct!</p>","null","","","","","","","",""
