"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","condition","participant_id","comprehension_loop1_attempts","info_comprehension_attempts","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task","correct_response","response_label","correct","selected","rt_valid","foil","question_order"
"image-button-response","57","387516","0.0-15.0-0.2-0.2","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","724","img/BigSandwich.png","1","word_selection","pir","pir","true","","","turu",""
"html-keyboard-response","58","389034","0.0-15.0-0.2-1.2","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","null","<img src='img/HappyWomanCropped.png' style='max-width:150px; display:block; margin:0 auto 10px;'><p style='font-size:32px'>Correct!</p>","null","","","","","","","",""
"image-button-response","59","389742","0.0-15.0-0.3-0.3","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","704","img/SmallUmbrella.png","1","word_selection","kas","pir","false","","","pir",""
"html-keyboard-response","60","391253","0.0-15.0-0.3-1.3","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","null","<img src='img/UnhappyWomanCropped.png' style='max-width:150px; display:block; margin:0 auto 10px;'><p style='font-size:32px'>Wrong!</p>","null","","","","","","","",""
"image-button-response","61","391871","0.0-15.0-0.4-0.4","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","615","img/SmallUmbrella.png","0","word_selection","kas","kas","true","","","pir",""
"html-keyboard-response","62","393384","0.0-15.0-0.4-1.4","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","null","<img src='img/HappyWomanCropped.png' style='max-width:150px; display:block; margin:0 auto 10px;'><p style='font-size:32px'>Correct!</p>","null","","","","","","","",""
"image-button-response","63","394425","0.0-15.0-0.5-0.5","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","1037","img/BadUmbrella.png","1","word_selection","turu","turu","true","","","kas",""
"html-keyboard-response","64","395935","0.0-15.0-0.5-1.5","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","null","<img src='img/HappyWomanCropped.png' style='max-width:150px; display:block; margin:0 auto 10px;'><p style='font-size:32px'>Correct!</p>","null","","","","","","","",""
"image-button-response","65","397613","0.0-15.0-0.6-0.6","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","1675","img/BigUmbrella.png","0","word_selection","pir","pir","true","","","kas",""
"html-keyboard-response","66","399125","0.0-15.0-0.6-1.6","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","null","<img src='img/HappyWomanCropped.png' style='max-width:150px; display:block; margin:0 auto 10px;'><p style='font-size:32px'>Correct!</p>","null","","","","","","","",""
